DATE,DHOILNYH
2017-07-10,1.353
2017-07-11,1.378
2017-07-12,1.374
2017-07-13,1.384
2017-07-14,1.417
2017-07-17,1.397
2017-07-18,1.407
2017-07-19,1.450
2017-07-20,1.443
2017-07-21,1.411
2017-07-24,1.416
2017-07-25,1.465
2017-07-26,1.493
2017-07-27,1.500
2017-07-28,1.535
2017-07-31,1.556
2017-08-01,1.537
2017-08-02,1.546
2017-08-03,1.531
2017-08-04,1.538
2017-08-07,1.532
2017-08-08,1.522
2017-08-09,1.549
2017-08-10,1.520
2017-08-11,1.528
2017-08-14,1.499
2017-08-15,1.493
2017-08-16,1.466
2017-08-17,1.472
2017-08-18,1.516
2017-08-21,1.464
2017-08-22,1.483
2017-08-23,1.515
2017-08-24,1.515
2017-08-25,1.509
2017-08-28,1.537
2017-08-29,1.515
2017-08-30,1.512
2017-08-31,1.649
2017-09-01,1.697
2017-09-04,.
2017-09-05,1.688
2017-09-06,1.675
2017-09-07,1.699
2017-09-08,1.680
2017-09-11,1.655
2017-09-12,1.656
2017-09-13,1.612
2017-09-14,1.700
2017-09-15,1.703
2017-09-18,1.705
2017-09-19,1.680
2017-09-20,1.710
2017-09-21,1.720
2017-09-22,1.710
2017-09-25,1.760
2017-09-26,1.763
2017-09-27,1.746
2017-09-28,1.816
2017-09-29,1.798
2017-10-02,1.669
2017-10-03,1.684
2017-10-04,1.704
2017-10-05,1.719
2017-10-06,1.67
2017-10-09,1.623
2017-10-10,1.654
2017-10-11,1.66
2017-10-12,1.65
2017-10-13,1.675
2017-10-16,1.703
2017-10-17,1.708
2017-10-18,1.703
2017-10-19,1.708
2017-10-20,1.727
2017-10-23,1.702
2017-10-24,1.745
2017-10-25,1.739
2017-10-26,1.751
2017-10-27,1.783
2017-10-30,1.788
2017-10-31,1.789
2017-11-01,1.767
2017-11-02,1.769
2017-11-03,1.791
2017-11-06,1.831
2017-11-07,1.827
2017-11-08,1.808
2017-11-09,1.833
2017-11-10,1.835
2017-11-13,1.83
2017-11-14,1.793
2017-11-15,1.804
2017-11-16,1.81
2017-11-17,1.838
2017-11-20,1.838
2017-11-21,1.84
2017-11-22,1.842
2017-11-23,.
2017-11-24,1.857
2017-11-27,1.853
2017-11-28,1.856
2017-11-29,1.833
2017-11-30,1.802
2017-12-01,1.85
2017-12-04,1.802
2017-12-05,1.828
2017-12-06,1.769
2017-12-07,1.8
2017-12-08,1.834
2017-12-11,1.855
2017-12-12,1.852
2017-12-13,1.824
2017-12-14,1.829
2017-12-15,1.82
2017-12-18,1.84
2017-12-19,1.853
2017-12-20,1.86
2017-12-21,1.863
2017-12-22,1.884
2017-12-25,.
2017-12-26,1.958
2017-12-27,1.951
2017-12-28,1.973
2017-12-29,1.993
2018-01-01,.
2018-01-02,1.983
2018-01-03,2.03
2018-01-04,2.015
2018-01-05,2.011
2018-01-08,2.0
2018-01-09,2.014
2018-01-10,2.024
2018-01-11,2.023
2018-01-12,2.034
2018-01-15,.
2018-01-16,2.012
2018-01-17,2.006
2018-01-18,2.002
2018-01-19,1.999
2018-01-22,2.0
2018-01-23,2.033
2018-01-24,2.043
2018-01-25,2.036
2018-01-26,2.064
2018-01-29,2.029
2018-01-30,2.007
2018-01-31,2.004
2018-02-01,2.016
2018-02-02,1.962
2018-02-05,1.929
2018-02-06,1.908
2018-02-07,1.849
2018-02-08,1.811
2018-02-09,1.783
2018-02-12,1.77
2018-02-13,1.77
2018-02-14,1.807
2018-02-15,1.816
2018-02-16,1.835
2018-02-19,.
2018-02-20,1.823
2018-02-21,1.82
2018-02-22,1.847
2018-02-23,1.881
2018-02-26,1.899
2018-02-27,1.886
2018-02-28,1.815
2018-03-01,1.808
2018-03-02,1.807
2018-03-05,1.794
2018-03-06,1.799
2018-03-07,1.799
2018-03-08,1.784
2018-03-09,1.795
2018-03-12,1.778
2018-03-13,1.823
2018-03-14,1.834
2018-03-15,1.843
2018-03-16,1.859
2018-03-19,1.863
2018-03-20,1.89
2018-03-21,1.981
2018-03-22,1.958
2018-03-23,1.982
2018-03-26,1.968
2018-03-27,1.965
2018-03-28,1.965
2018-03-29,1.97
2018-03-30,.
2018-04-02,1.941
2018-04-03,1.95
2018-04-04,1.938
2018-04-05,1.934
2018-04-06,1.915
2018-04-09,1.957
2018-04-10,2.027
2018-04-11,2.06
2018-04-12,2.049
2018-04-13,2.066
2018-04-16,2.038
2018-04-17,2.023
2018-04-18,2.069
2018-04-19,2.085
2018-04-20,2.086
2018-04-23,2.081
2018-04-24,2.099
2018-04-25,2.104
2018-04-26,2.126
2018-04-27,2.105
2018-04-30,2.128
2018-05-01,2.076
2018-05-02,2.09
2018-05-03,2.095
2018-05-04,2.13
2018-05-07,2.146
2018-05-08,2.148
2018-05-09,2.192
2018-05-10,2.196
2018-05-11,2.199
2018-05-14,2.225
2018-05-15,2.213
2018-05-16,2.236
2018-05-17,2.256
2018-05-18,2.242
2018-05-21,2.252
2018-05-22,2.245
2018-05-23,2.26
2018-05-24,2.234
2018-05-25,2.172
2018-05-28,.
2018-05-29,2.153
2018-05-30,2.2
2018-05-31,2.177
2018-06-01,2.144
2018-06-04,2.122
2018-06-05,2.104
2018-06-06,2.107
2018-06-07,2.147
2018-06-08,2.129
2018-06-11,2.129
2018-06-12,2.123
2018-06-13,2.154
2018-06-14,2.129
2018-06-15,2.052
2018-06-18,2.1
2018-06-19,2.091
2018-06-20,2.069
2018-06-21,2.049
2018-06-22,2.092
2018-06-25,2.077
2018-06-26,2.1
2018-06-27,2.133
2018-06-28,2.134
2018-06-29,2.168
2018-07-02,2.117
2018-07-03,2.134
2018-07-04,.
2018-07-05,2.158
2018-07-06,2.142
2018-07-09,2.172
