DATE,DPROPANEMBTX
2017-07-10,0.606
2017-07-11,0.520
2017-07-12,0.635
2017-07-13,0.639
2017-07-14,0.643
2017-07-17,0.639
2017-07-18,0.654
2017-07-19,0.664
2017-07-20,0.675
2017-07-21,0.659
2017-07-24,0.665
2017-07-25,0.684
2017-07-26,0.705
2017-07-27,0.724
2017-07-28,0.726
2017-07-31,0.734
2017-08-01,0.739
2017-08-02,0.754
2017-08-03,0.726
2017-08-04,0.739
2017-08-07,0.728
2017-08-08,0.721
2017-08-09,0.760
2017-08-10,0.770
2017-08-11,0.775
2017-08-14,0.755
2017-08-15,0.741
2017-08-16,0.748
2017-08-17,0.745
2017-08-18,0.770
2017-08-21,0.755
2017-08-22,0.760
2017-08-23,0.769
2017-08-24,0.760
2017-08-25,0.778
2017-08-28,0.778
2017-08-29,0.778
2017-08-30,0.795
2017-08-31,0.800
2017-09-01,0.811
2017-09-04,.
2017-09-05,0.816
2017-09-06,0.830
2017-09-07,0.830
2017-09-08,0.836
2017-09-11,0.845
2017-09-12,0.859
2017-09-13,0.876
2017-09-14,0.879
2017-09-15,0.876
2017-09-18,0.878
2017-09-19,0.879
2017-09-20,0.910
2017-09-21,0.928
2017-09-22,0.930
2017-09-25,0.970
2017-09-26,0.97
2017-09-27,0.963
2017-09-28,0.941
2017-09-29,0.915
2017-10-02,0.87
2017-10-03,0.87
2017-10-04,0.914
2017-10-05,0.94
2017-10-06,0.93
2017-10-09,0.944
2017-10-10,0.955
2017-10-11,0.96
2017-10-12,0.954
2017-10-13,0.945
2017-10-16,0.935
2017-10-17,0.925
2017-10-18,0.914
2017-10-19,0.903
2017-10-20,0.895
2017-10-23,0.933
2017-10-24,0.918
2017-10-25,0.918
2017-10-26,0.98
2017-10-27,0.998
2017-10-30,0.985
2017-10-31,0.973
2017-11-01,0.965
2017-11-02,0.95
2017-11-03,0.95
2017-11-06,0.95
2017-11-07,0.95
2017-11-08,0.95
2017-11-09,0.95
2017-11-10,0.979
2017-11-13,0.984
2017-11-14,0.973
2017-11-15,0.989
2017-11-16,0.995
2017-11-17,0.998
2017-11-20,0.998
2017-11-21,1.0
2017-11-22,1.0
2017-11-23,.
2017-11-24,1.0
2017-11-27,1.018
2017-11-28,1.005
2017-11-29,0.988
2017-11-30,0.98
2017-12-01,0.99
2017-12-04,0.975
2017-12-05,0.988
2017-12-06,0.977
2017-12-07,0.973
2017-12-08,0.974
2017-12-11,0.955
2017-12-12,0.93
2017-12-13,0.916
2017-12-14,0.891
2017-12-15,0.908
2017-12-18,0.92
2017-12-19,0.93
2017-12-20,0.96
2017-12-21,0.963
2017-12-22,0.965
2017-12-25,.
2017-12-26,0.99
2017-12-27,0.983
2017-12-28,0.973
2017-12-29,0.983
2018-01-01,.
2018-01-02,0.988
2018-01-03,0.979
2018-01-04,0.934
2018-01-05,0.931
2018-01-08,0.943
2018-01-09,0.945
2018-01-10,0.888
2018-01-11,0.9
2018-01-12,0.923
2018-01-15,.
2018-01-16,0.923
2018-01-17,0.936
2018-01-18,0.938
2018-01-19,0.918
2018-01-22,0.866
2018-01-23,0.845
2018-01-24,0.86
2018-01-25,0.818
2018-01-26,0.823
2018-01-29,0.833
2018-01-30,0.853
2018-01-31,0.869
2018-02-01,0.856
2018-02-02,0.84
2018-02-05,0.793
2018-02-06,0.765
2018-02-07,0.755
2018-02-08,0.75
2018-02-09,0.815
2018-02-12,0.89
2018-02-13,0.825
2018-02-14,0.843
2018-02-15,0.81
2018-02-16,0.838
2018-02-19,.
2018-02-20,0.838
2018-02-21,0.835
2018-02-22,0.835
2018-02-23,0.835
2018-02-26,0.928
2018-02-27,0.84
2018-02-28,0.81
2018-03-01,0.755
2018-03-02,0.755
2018-03-05,0.76
2018-03-06,0.764
2018-03-07,0.735
2018-03-08,0.733
2018-03-09,0.763
2018-03-12,0.763
2018-03-13,0.796
2018-03-14,0.796
2018-03-15,0.82
2018-03-16,0.805
2018-03-19,0.788
2018-03-20,0.803
2018-03-21,0.818
2018-03-22,0.805
2018-03-23,0.828
2018-03-26,0.825
2018-03-27,0.81
2018-03-28,0.81
2018-03-29,0.801
2018-03-30,.
2018-04-02,0.77
2018-04-03,0.768
2018-04-04,0.768
2018-04-05,0.735
2018-04-06,0.735
2018-04-09,0.761
2018-04-10,0.788
2018-04-11,0.795
2018-04-12,0.795
2018-04-13,0.838
2018-04-16,0.815
2018-04-17,0.823
2018-04-18,0.833
2018-04-19,0.83
2018-04-20,0.828
2018-04-23,0.838
2018-04-24,0.849
2018-04-25,0.875
2018-04-26,0.91
2018-04-27,0.935
2018-04-30,0.963
2018-05-01,0.908
2018-05-02,0.898
2018-05-03,0.885
2018-05-04,0.878
2018-05-07,0.873
2018-05-08,0.853
2018-05-09,0.875
2018-05-10,0.881
2018-05-11,0.89
2018-05-14,0.905
2018-05-15,0.935
2018-05-16,0.96
2018-05-17,0.978
2018-05-18,0.943
2018-05-21,0.941
2018-05-22,0.94
2018-05-23,0.943
2018-05-24,0.95
2018-05-25,0.928
2018-05-28,.
2018-05-29,0.918
2018-05-30,0.93
2018-05-31,0.949
2018-06-01,0.92
2018-06-04,0.896
2018-06-05,0.883
2018-06-06,0.864
2018-06-07,0.888
2018-06-08,0.888
2018-06-11,0.896
2018-06-12,0.888
2018-06-13,0.883
2018-06-14,0.878
2018-06-15,0.858
2018-06-18,0.861
2018-06-19,0.855
2018-06-20,0.853
2018-06-21,0.839
2018-06-22,0.854
2018-06-25,0.853
2018-06-26,0.88
2018-06-27,0.9
2018-06-28,0.91
2018-06-29,0.938
2018-07-02,0.938
2018-07-03,0.95
2018-07-04,.
2018-07-05,0.968
2018-07-06,0.955
2018-07-09,0.958
